var,cat,group,arr,auto
GHG_EffWaterfPoreF,GHG,Greenhouse Gas Emissions,zone_df,
GHG_GWP_N2O_CH4,GHG,Greenhouse Gas Emissions,,
GHG_N2_Em,GHG,Greenhouse Gas Emissions,zone_df,
GHG_N2_EmZn,GHG,Greenhouse Gas Emissions,zone_df,
GHG_N2_Fraction,GHG,Greenhouse Gas Emissions,,
GHG_N2O_Fraction,GHG,Greenhouse Gas Emissions,,
GHG_N2_per_NOx,GHG,Greenhouse Gas Emissions,zone_df,
GHG_Net_CH4_Em,GHG,Greenhouse Gas Emissions,zone_df,
GHG_NFluxEmZn,GHG,Greenhouse Gas Emissions,zone_df,
GHG_NFluxFld,GHG,Greenhouse Gas Emissions,,
GHG_NgasEmissionFCum,GHG,Greenhouse Gas Emissions,,
GHG_NgasEmissionFlux,GHG,Greenhouse Gas Emissions,zone_df,
GHG_NgassLossFluxField,GHG,Greenhouse Gas Emissions,,
GHG_NitOxEm,GHG,Greenhouse Gas Emissions,zonelayer_df,
GHG_Nitric_Oxide_EmZn,GHG,Greenhouse Gas Emissions,zone_df,
GHG_Nitrous_Oxide_EmZn,GHG,Greenhouse Gas Emissions,zone_df,
GHG_N2LossSubs,GHG,Greenhouse Gas Emissions,zone_df,
GHG_N2O_Em,GHG,Greenhouse Gas Emissions,zone_df,
GHG_N2O_EmField,GHG,Greenhouse Gas Emissions,,
GHG_N2O_EmFraction,GHG,Greenhouse Gas Emissions,zone_df,
GHG_N2O_Fraction,GHG,Greenhouse Gas Emissions,,
GHG_N2OFluxFld,GHG,Greenhouse Gas Emissions,,
GHG_TotNloss,GHG,Greenhouse Gas Emissions,zone_df,
LIGHT_CRelCap,LIGHT,Light Interception,zone_df,Yes zone
LIGHT_CRelSupply,LIGHT,Light Interception,zone_df,
L_Bottom,L,Light (Canopy Layers),zone_df,
L_Mid,L,Light (Canopy Layers),zone_df,
L_MidBot,L,Light (Canopy Layers),zone_df,
L_MidTop,L,Light (Canopy Layers),zone_df,
L_Top,L,Light (Canopy Layers),zone_df,
LF_AvgWatDef,LF,Lateral Flow / Groundwater,layer_df,
LF_HDrainCum,LF,Lateral Flow / Groundwater,layer_df,
LF_HMaxDailyFlow,LF,Lateral Flow / Groundwater,zonelayer_df,
LF_HMaxMailyFlow,LF,Lateral Flow / Groundwater,zone_df,
LF_InflowFromGW,LF,Lateral Flow / Groundwater,layer_df,
LF_LatAc,LF,Lateral Flow / Groundwater,layer_df,
LF_LatInCum,LF,Lateral Flow / Groundwater,layer_df,
LF_LatInflow,LF,Lateral Flow / Groundwater,layer_df,
LF_MaxProfHOutflow,LF,Lateral Flow / Groundwater,,
LF_MaxProfVAbsorption,LF,Lateral Flow / Groundwater,,
LF_MaxVInflow,LF,Lateral Flow / Groundwater,zonelayer_df,
LF_MVIZF,LF,Lateral Flow / Groundwater,zonelayer_df,
LF_RelDistInflowFromGW,LF,Lateral Flow / Groundwater,layer_df,
LF_RunOn,LF,Lateral Flow / Groundwater,,
LF_SICZF,LF,Lateral Flow / Groundwater,zone_df,
LF_UphillGWIncr,LF,Lateral Flow / Groundwater,,
LF_UphillGWRelease,LF,Lateral Flow / Groundwater,,
LF_UphillGWStore,LF,Lateral Flow / Groundwater,,
LF_UpHillRainIn,LF,Lateral Flow / Groundwater,,
LF_VertFlow,LF,Lateral Flow / Groundwater,layer_df,
LF_VMaxDailyFlow,LF,Lateral Flow / Groundwater,zonelayer_df,
MC_StrLitSomTransFrac,MC,Litter & SOM Decomposition (Century - Method 1),zone_df,
MC_Act,MC,Litter & SOM Decomposition (Century - Method 1),zone_df,
MC2_Act,MC2,Litter & SOM Decomposition (Century - Method 2),zonelayer_df,
MC2_Act_LayerTrans,MC2,Litter & SOM Decomposition (Century - Method 2),zonelayer_df,
MC_Act_LitSomTrans,MC,Litter & SOM Decomposition (Century - Method 1),zone_df,
MC2_Act_SomTrans,MC2,Litter & SOM Decomposition (Century - Method 2),zonelayer_df,
MC_ActCO2,MC,Litter & SOM Decomposition (Century - Method 1),zone_df,
MC2_ActCO2,MC2,Litter & SOM Decomposition (Century - Method 2),zone_df,
MC_ActCO2In,MC,Litter & SOM Decomposition (Century - Method 1),zone_df,
MC2_ActCO2In,MC2,Litter & SOM Decomposition (Century - Method 2),zonelayer_df,
MC_ActDecomDec,MC,Litter & SOM Decomposition (Century - Method 1),zonenut_df,
MC2_ActDecomDec,MC2,Litter & SOM Decomposition (Century - Method 2),zonelayer_df,
MC_ActDecomDecMin,MC,Litter & SOM Decomposition (Century - Method 1),zone_df,
MC2_ActDecomDecMin,MC2,Litter & SOM Decomposition (Century - Method 2),zonelayer_df,
MC_ActLitSomTransFrac,MC,Litter & SOM Decomposition (Century - Method 1),zone_df,
MC_ActPass,MC,Litter & SOM Decomposition (Century - Method 1),zone_df,
MC2_ActPass,MC2,Litter & SOM Decomposition (Century - Method 2),zonelayer_df,
MC_ActPassF,MC,Litter & SOM Decomposition (Century - Method 1),zone_df,
MC2_ActPassF,MC2,Litter & SOM Decomposition (Century - Method 2),zonelayer_df,
MC_ActResp,MC,Litter & SOM Decomposition (Century - Method 1),,
MC2_ActResp,MC2,Litter & SOM Decomposition (Century - Method 2),,
MC_ActSlw,MC,Litter & SOM Decomposition (Century - Method 1),zone_df,
MC2_ActSlw,MC2,Litter & SOM Decomposition (Century - Method 2),zonelayer_df,
MC_ActSlwF,MC,Litter & SOM Decomposition (Century - Method 1),zone_df,
MC2_ActSlwF,MC2,Litter & SOM Decomposition (Century - Method 2),zonelayer_df,
MC_ActTot,MC,Litter & SOM Decomposition (Century - Method 1),zone_df,
MC2_Clay,MC2,Litter & SOM Decomposition (Century - Method 2),,
MC2_ClayperZone,MC2,Litter & SOM Decomposition (Century - Method 2),zone_df,
MC2_CorgInit,MC2,Litter & SOM Decomposition (Century - Method 2),,
MC2_CrefMeth,MC2,Litter & SOM Decomposition (Century - Method 2),,
MC2_CSlowFrac,MC2,Litter & SOM Decomposition (Century - Method 2),,
MC_EffActSlw,MC,Litter & SOM Decomposition (Century - Method 1),,
MC2_EffActSlw,MC2,Litter & SOM Decomposition (Century - Method 2),,
MC2_InputLign,MC2,Litter & SOM Decomposition (Century - Method 2),zonelayer_df,
MC2_InputRtAmount,MC2,Litter & SOM Decomposition (Century - Method 2),zonelayer_df,
MC2_kActCorrectedLayer,MC2,Litter & SOM Decomposition (Century - Method 2),zone_df,
MC_kActCur,MC,Litter & SOM Decomposition (Century - Method 1),zone_df,
MC2_kActCur,MC2,Litter & SOM Decomposition (Century - Method 2),zonelayer_df,
MC_kMetabCur,MC,Litter & SOM Decomposition (Century - Method 1),zone_df,
MC2_kMetabCur,MC2,Litter & SOM Decomposition (Century - Method 2),zonelayer_df,
MC2_kPassCorrectedLayer,MC2,Litter & SOM Decomposition (Century - Method 2),zone_df,
MC_kPassCur,MC,Litter & SOM Decomposition (Century - Method 1),zone_df,
MC2_kPassCur,MC2,Litter & SOM Decomposition (Century - Method 2),zonelayer_df,
MC2_KSlowPassCurr,MC2,Litter & SOM Decomposition (Century - Method 2),zonelayer_df,
MC2_kSlwCorrectedLayer,MC2,Litter & SOM Decomposition (Century - Method 2),zone_df,
MC_kSlwCur,MC,Litter & SOM Decomposition (Century - Method 1),zone_df,
MC2_kSlwCur,MC2,Litter & SOM Decomposition (Century - Method 2),zonelayer_df,
MC_kStrucCur,MC,Litter & SOM Decomposition (Century - Method 1),zone_df,
MC2_kStrucCur,MC2,Litter & SOM Decomposition (Century - Method 2),zonelayer_df,
MC_LAIperNecmss,MC,Litter & SOM Decomposition (Century - Method 1),zone_df,
MC2_LitSomTrans,MC2,Litter & SOM Decomposition (Century - Method 2),zonecpools_df,
MC_LitTemp,MC,Litter & SOM Decomposition (Century - Method 1),zone_df,
MC_LitTempLim,MC,Litter & SOM Decomposition (Century - Method 1),zone_df,
MC_LitterAmount,MC,Litter & SOM Decomposition (Century - Method 1),zone_df,
MC_LitterC,MC,Litter & SOM Decomposition (Century - Method 1),zone_df,
MC_LitterLignPolyp,MC,Litter & SOM Decomposition (Century - Method 1),zone_df,
MC2_Met_LayerTrans,MC2,Litter & SOM Decomposition (Century - Method 2),zonelayer_df,
MC2_Met_SomTrans,MC,Litter & SOM Decomposition (Century - Method 1),zone_df,
MC2_Met_SomTrans,MC2,Litter & SOM Decomposition (Century - Method 2),zonelayer_df,
MC2_Met_SomTrans,MC,Litter & SOM Decomposition (Century - Method 1),zone_df,
MC2_Metab,MC2,Litter & SOM Decomposition (Century - Method 2),zonelayer_df,
MC_MetabActF,MC,Litter & SOM Decomposition (Century - Method 1),zone_df,
MC2_MetabActF,MC2,Litter & SOM Decomposition (Century - Method 2),zonelayer_df,
MC_MetabCO2,MC,Litter & SOM Decomposition (Century - Method 1),zone_df,
MC2_MetabCO2,MC2,Litter & SOM Decomposition (Century - Method 2),zone_df,
MC_MetabCO2In,MC,Litter & SOM Decomposition (Century - Method 1),zone_df,
MC2_MetabCO2In,MC2,Litter & SOM Decomposition (Century - Method 2),zonelayer_df,
MC_MetabIn,MC,Litter & SOM Decomposition (Century - Method 1),zone_df,
MC2_MetabIn,MC2,Litter & SOM Decomposition (Century - Method 2),zonelayer_df,
MC_MetabTot,MC,Litter & SOM Decomposition (Century - Method 1),zone_df,
MC_MetLitSomTransFrac,MC,Litter & SOM Decomposition (Century - Method 1),zone_df,
MC2_OrgC_Leached,MC2,Litter & SOM Decomposition (Century - Method 2),zone_df,
MC2_OrgC_Leaching,MC2,Litter & SOM Decomposition (Century - Method 2),zone_df,
MC2_OrgInpC,MC2,Litter & SOM Decomposition (Century - Method 2),zonelayer_df,
MC_Pas_LitSomTrans,MC,Litter & SOM Decomposition (Century - Method 1),zone_df,
MC_Pass,MC,Litter & SOM Decomposition (Century - Method 1),zone_df,
MC2_Pass,MC2,Litter & SOM Decomposition (Century - Method 2),zonelayer_df,
MC2_Pass_LayerTrans,MC2,Litter & SOM Decomposition (Century - Method 2),zonelayer_df,
MC2_Pass_SomTrans,MC2,Litter & SOM Decomposition (Century - Method 2),zonelayer_df,
MC_PassAct,MC,Litter & SOM Decomposition (Century - Method 1),zone_df,
MC2_PassAct,MC2,Litter & SOM Decomposition (Century - Method 2),zonelayer_df,
MC_PassCO2,MC,Litter & SOM Decomposition (Century - Method 1),zone_df,
MC2_PassCO2,MC2,Litter & SOM Decomposition (Century - Method 2),zone_df,
MC_PassCO2In,MC,Litter & SOM Decomposition (Century - Method 1),zone_df,
MC2_PassCO2In,MC2,Litter & SOM Decomposition (Century - Method 2),zonelayer_df,
MC_PassLitSomTransFrac,MC,Litter & SOM Decomposition (Century - Method 1),zone_df,
MC_PassTot,MC,Litter & SOM Decomposition (Century - Method 1),zone_df,
MC2_RelImpDeno,MC2,Litter & SOM Decomposition (Century - Method 2),zone_df,
MC2_RHDrain,MC2,Litter & SOM Decomposition (Century - Method 2),zonelayer_df,
MC2_Silt,MC2,Litter & SOM Decomposition (Century - Method 2),,
MC2_SiltClayCoeffCref,MC2,Litter & SOM Decomposition (Century - Method 2),,
MC2_SiltperZone,MC2,Litter & SOM Decomposition (Century - Method 2),zone_df,
MC2_Slow_LayerTrans,MC2,Litter & SOM Decomposition (Century - Method 2),zonelayer_df,
MC_Slw,MC,Litter & SOM Decomposition (Century - Method 1),zone_df,
Mc2_Slw_SomTrans,MC2,Litter & SOM Decomposition (Century - Method 2),zonelayer_df,
MC_Slw_LitSomTrans,MC,Litter & SOM Decomposition (Century - Method 1),zone_df,
MC_SlwAct,MC,Litter & SOM Decomposition (Century - Method 1),zone_df,
MC2_SlwAct,MC2,Litter & SOM Decomposition (Century - Method 2),zonelayer_df,
MC_SlwCO2,MC,Litter & SOM Decomposition (Century - Method 1),zone_df,
MC2_SlwCO2,MC2,Litter & SOM Decomposition (Century - Method 2),zone_df,
MC_SlwCO2In,MC,Litter & SOM Decomposition (Century - Method 1),zone_df,
MC2_SlwCO2In,MC2,Litter & SOM Decomposition (Century - Method 2),zonelayer_df,
MC_SlwDecomDec,MC,Litter & SOM Decomposition (Century - Method 1),zone_df,
MC2_SlwDecomDec,MC2,Litter & SOM Decomposition (Century - Method 2),zone_df,
MC_SlwDecomDecMin,MC,Litter & SOM Decomposition (Century - Method 1),zonenut_df,
MC2_SlwDecomDecMin,MC2,Litter & SOM Decomposition (Century - Method 2),zonenut_df,
MC_SlwLitSomTransFrac,MC,Litter & SOM Decomposition (Century - Method 1),zone_df,
MC_SlwPassF,MC,Litter & SOM Decomposition (Century - Method 1),zone_df,
MC2_SlwPassF,MC2,Litter & SOM Decomposition (Century - Method 2),zonelayer_df,
MC_SlwTot,MC,Litter & SOM Decomposition (Century - Method 1),zone_df,
MC_SplitMet,MC,Litter & SOM Decomposition (Century - Method 1),zone_df,
MC2_SplitMet,MC2,Litter & SOM Decomposition (Century - Method 2),zonelayer_df,
MC_Str_LitSomTrans,MC,Litter & SOM Decomposition (Century - Method 1),zone_df,
MC_Struc,MC,Litter & SOM Decomposition (Century - Method 1),zone_df,
MC2_Struc,MC2,Litter & SOM Decomposition (Century - Method 2),zonelayer_df,
MC2_Struc_LayerTrans,MC2,Litter & SOM Decomposition (Century - Method 2),zonelayer_df,
MC2_Struc_SomT,MC2,Litter & SOM Decomposition (Century - Method 2),zonelayer_df,
MC_StrucActCO2,MC,Litter & SOM Decomposition (Century - Method 1),zone_df,
MC2_StrucActCO2,MC2,Litter & SOM Decomposition (Century - Method 2),zone_df,
MC_StrucActCO2In,MC,Litter & SOM Decomposition (Century - Method 1),zone_df,
MC2_StrucActCO2In,MC2,Litter & SOM Decomposition (Century - Method 2),zonelayer_df,
MC_StrucActF,MC,Litter & SOM Decomposition (Century - Method 1),zone_df,
MC2_StrucActF,MC2,Litter & SOM Decomposition (Century - Method 2),zonelayer_df,
MC_StrucIn,MC,Litter & SOM Decomposition (Century - Method 1),zone_df,
MC2_StrucIn,MC2,Litter & SOM Decomposition (Century - Method 2),zonelayer_df,
MC_StrucLig,MC,Litter & SOM Decomposition (Century - Method 1),zone_df,
MC2_StrucLig,MC2,Litter & SOM Decomposition (Century - Method 2),zonelayer_df,
MC_StrucSlwCO2,MC,Litter & SOM Decomposition (Century - Method 1),zone_df,
MC2_StrucSlwCO2,MC2,Litter & SOM Decomposition (Century - Method 2),zone_df,
MC_StrucSlwCO2In,MC,Litter & SOM Decomposition (Century - Method 1),zone_df,
MC_StrucSlwCO2In_SOM,MC,Litter & SOM Decomposition (Century - Method 1),zonelayer_df,
MC_StrucSlwF,MC,Litter & SOM Decomposition (Century - Method 1),zone_df,
MC2_StrucSlwF,MC2,Litter & SOM Decomposition (Century - Method 2),zonelayer_df,
MC_StrucTot,MC,Litter & SOM Decomposition (Century - Method 1),zone_df,
MC_StructSlwF_act,MC,Litter & SOM Decomposition (Century - Method 1),zone_df,
MC2_TempLim,MC2,Litter & SOM Decomposition (Century - Method 2),zonelayer_df,
MC2_Theta,MC2,Litter & SOM Decomposition (Century - Method 2),zonelayer_df,
MC_ThetaLim,MC,Litter & SOM Decomposition (Century - Method 1),zone_df,
MC2_ThetaLim,MC2,Litter & SOM Decomposition (Century - Method 2),zonelayer_df,
MC_ThetaLitter,MC,Litter & SOM Decomposition (Century - Method 1),zone_df,
MC2_TillageEvent,MC2,Litter & SOM Decomposition (Century - Method 2),zone_df,
MN_Act,MN,Mineral Nitrogen (Method 1),zonenut_df,
MN2_Act,MN2,Mineral Nitrogen (Method 2),zonelayer_df,
MN_Act_LitSomTrans,MN,Mineral Nitrogen (Method 1),zonenut_df,
MN2_Act_SomTrans,MN2,Mineral Nitrogen (Method 2),zonelayer_df,
MN2_ActCorrectedInit,MN2,Mineral Nitrogen (Method 2),zone_df,
MN2_ActInit,MN2,Mineral Nitrogen (Method 2),zone_df,
MN2_ActInitF,MN2,Mineral Nitrogen (Method 2),zone_df,
MN2_ActLayer,MN2,Mineral Nitrogen (Method 2),zonelayer_df,
MN_ActMin,MN,Mineral Nitrogen (Method 1),zonenut_df,
MN2_ActMin,MN2,Mineral Nitrogen (Method 2),zonelayer_df,
MN_ActMinF,MN,Mineral Nitrogen (Method 1),zonenut_df,
MN2_ActMinF,MN2,Mineral Nitrogen (Method 2),zonelayer_df,
MN_ActPass,MN,Mineral Nitrogen (Method 1),zonenut_df,
MN2_ActPass,MN2,Mineral Nitrogen (Method 2),zonelayer_df,
MN_ActPassF,MN,Mineral Nitrogen (Method 1),zonenut_df,
MN2_ActPassF,MN2,Mineral Nitrogen (Method 2),zonelayer_df,
MN_ActS,MN,Mineral Nitrogen (Method 1),zonenut_df,
MN2_ActS,MN2,Mineral Nitrogen (Method 2),zonelayer_df,
MN_ActSlw,MN,Mineral Nitrogen (Method 1),zonenut_df,
MN2_ActSlw,MN2,Mineral Nitrogen (Method 2),zonelayer_df,
MN_ActSlwF,MN,Mineral Nitrogen (Method 1),zonenut_df,
MN2_ActSlwF,MN2,Mineral Nitrogen (Method 2),zonelayer_df,
MN2_CentMinFlows,MN2,Mineral Nitrogen (Method 2),zonenut_df,
MN_CNActAct,MN,Mineral Nitrogen (Method 1),zonenut_df,
MN2_CNActAct,MN2,Mineral Nitrogen (Method 2),zonelayer_df,
MN_CNMetab,MN,Mineral Nitrogen (Method 1),zonenut_df,
MN2_CNMetab,MN2,Mineral Nitrogen (Method 2),zonelayer_df,
MN_CNSlwAct,MN,Mineral Nitrogen (Method 1),zonenut_df,
MN2_CNSlwAct,MN2,Mineral Nitrogen (Method 2),zonelayer_df,
MN_CNStrucActual,MN,Mineral Nitrogen (Method 1),zonenut_df,
MN_DecAct,MN,Mineral Nitrogen (Method 1),zonenut_df,
MN2_DecAct,MN2,Mineral Nitrogen (Method 2),zonelayer_df,
MN_DecActMet,MN,Mineral Nitrogen (Method 1),zonenut_df,
MN2_DecActMet,MN2,Mineral Nitrogen (Method 2),zonelayer_df,
MN_DecActSt,MN,Mineral Nitrogen (Method 1),zonenut_df,
MN2_DecActSt,MN2,Mineral Nitrogen (Method 2),zonelayer_df,
MN_DecPass,MN,Mineral Nitrogen (Method 1),zonenut_df,
MN2_DecPass,MN2,Mineral Nitrogen (Method 2),zonelayer_df,
MN_DecSlw,MN,Mineral Nitrogen (Method 1),zonenut_df,
MN2_DecSlw,MN2,Mineral Nitrogen (Method 2),zonelayer_df,
MN_DecStrucSlw,MN,Mineral Nitrogen (Method 1),zonenut_df,
MN2_DecStrucSlw,MN2,Mineral Nitrogen (Method 2),zonelayer_df,
MN2_DeltaPassSum,MN2,Mineral Nitrogen (Method 2),zone_df,
MN_DemActMet,MN,Mineral Nitrogen (Method 1),zonenut_df,
MN2_DemActMet,MN2,Mineral Nitrogen (Method 2),zonelayer_df,
MN_DemActSt,MN,Mineral Nitrogen (Method 1),zonenut_df,
MN2_DemActSt,MN2,Mineral Nitrogen (Method 2),zonelayer_df,
MN_DemStrucSlw,MN,Mineral Nitrogen (Method 1),zonenut_df,
MN2_DemStrucSlw,MN2,Mineral Nitrogen (Method 2),zonelayer_df,
MN_ExtOrgInpN,MN,Mineral Nitrogen (Method 1),zonenut_df,
MN_FertDissF,MN,Mineral Nitrogen (Method 1),zonenut_df,
MN_FertNZn,MN,Mineral Nitrogen (Method 1),zonenut_df,
MN_FertOnSoil,MN,Mineral Nitrogen (Method 1),zonenut_df,
MN_ImmobAct,MN,Mineral Nitrogen (Method 1),zonenut_df,
MN2_ImmobAct,MN2,Mineral Nitrogen (Method 2),zonelayer_df,
MN_ImmobStrucSlw,MN,Mineral Nitrogen (Method 1),zonenut_df,
MN2_ImmobStrucSlw,MN2,Mineral Nitrogen (Method 2),zonelayer_df,
MN_LatFlowFert,MN,Mineral Nitrogen (Method 1),zonenut_df,
MN_LitInpN,MN,Mineral Nitrogen (Method 1),zonenut_df,
MN_LitterNConc,MN,Mineral Nitrogen (Method 1),zonenut_df,
MN_Met_LitSomTrans,MN,Mineral Nitrogen (Method 1),zonenut_df,
MN2_Met_SomTrans,MN2,Mineral Nitrogen (Method 2),zonelayer_df,
MN_Metab,MN,Mineral Nitrogen (Method 1),zonenut_df,
MN2_Metab,MN2,Mineral Nitrogen (Method 2),zonelayer_df,
MN_MetabActF,MN,Mineral Nitrogen (Method 1),zonenut_df,
MN2_MetabActF,MN2,Mineral Nitrogen (Method 2),zonelayer_df,
MN_MetabIn,MN,Mineral Nitrogen (Method 1),zonenut_df,
MN2_MetabIn,MN2,Mineral Nitrogen (Method 2),zonelayer_df,
MN_MetabMinF,MN,Mineral Nitrogen (Method 1),zonenut_df,
MN2_MetabMinF,MN2,Mineral Nitrogen (Method 2),zonelayer_df,
MN_MetabS,MN,Mineral Nitrogen (Method 1),zonenut_df,
MN2_MetabS,MN2,Mineral Nitrogen (Method 2),zonelayer_df,
MN2_MinDueToSB,MN2,Mineral Nitrogen (Method 2),zonelayer_df,
MN2_MinerActLayer,MN2,Mineral Nitrogen (Method 2),zonelayer_df,
MN_Mineralization,MN,Mineral Nitrogen (Method 1),zonenut_df,
MN2_MinerPassLayer,MN2,Mineral Nitrogen (Method 2),zonelayer_df,
MN2_MinerSlwLayer,MN2,Mineral Nitrogen (Method 2),zonelayer_df,
MN_MinNutpool,MN,Mineral Nitrogen (Method 1),zonenut_df,
MN2_MinNutpool,MN2,Mineral Nitrogen (Method 2),zonelayer_df,
MN_MinNutTot,MN,Mineral Nitrogen (Method 1),nut_df,
MN2_OrgInpRtConc,MN2,Mineral Nitrogen (Method 2),zonelayer_df,
MN2_OrgInpRtN,MN2,Mineral Nitrogen (Method 2),zonelayer_df,
MN2_OrgN,MN2,Mineral Nitrogen (Method 2),zone_df,
MN2_OrgNLeached,MN2,Mineral Nitrogen (Method 2),zone_df,
MN_Pas_LitSomTrans,MN,Mineral Nitrogen (Method 1),zonenut_df,
MN2_Pas_SomTrans,MN2,Mineral Nitrogen (Method 2),zonelayer_df,
MN_PasMinF,MN,Mineral Nitrogen (Method 1),zonenut_df,
MN_Pass,MN,Mineral Nitrogen (Method 1),zonenut_df,
MN2_Pass,MN2,Mineral Nitrogen (Method 2),zonelayer_df,
MN_PassAct,MN,Mineral Nitrogen (Method 1),zonenut_df,
MN2_PassAct,MN2,Mineral Nitrogen (Method 2),zonelayer_df,
MN2_PassCorrectedLayer,MN2,Mineral Nitrogen (Method 2),zonelayer_df,
MN2_PassCorrectedSumInit,MN2,Mineral Nitrogen (Method 2),zone_df,
MN2_PassInit,MN2,Mineral Nitrogen (Method 2),zone_df,
MN2_PassInitF,MN2,Mineral Nitrogen (Method 2),zone_df,
MN2_PassInitLayer,MN2,Mineral Nitrogen (Method 2),zonelayer_df,
MN2_PassLayer,MN2,Mineral Nitrogen (Method 2),zonelayer_df,
MN2_PassMinF,MN2,Mineral Nitrogen (Method 2),zonelayer_df,
MN_PassS,MN,Mineral Nitrogen (Method 1),zonenut_df,
MN2_PassS,MN2,Mineral Nitrogen (Method 2),zonelayer_df,
MN2_RelImpLayer,MN2,Mineral Nitrogen (Method 2),zonelayer_df,
MN2_RelImpPass,MN2,Mineral Nitrogen (Method 2),zone_df,
MN_RunOffFert,MN,Mineral Nitrogen (Method 1),zonenut_df,
MN_Slw,MN,Mineral Nitrogen (Method 1),zonenut_df,
MN2_Slw,MN2,Mineral Nitrogen (Method 2),zonelayer_df,
MN_Slw_LitSomTrans,MN,Mineral Nitrogen (Method 1),zonenut_df,
MN2_Slw_SomTrans,MN2,Mineral Nitrogen (Method 2),zonelayer_df,
MN_SlwAct,MN,Mineral Nitrogen (Method 1),zonenut_df,
MN2_SlwAct,MN2,Mineral Nitrogen (Method 2),zonelayer_df,
MN2_SlwCorrectedInit,MN2,Mineral Nitrogen (Method 2),zone_df,
MN2_SlwInit,MN2,Mineral Nitrogen (Method 2),zone_df,
MN2_SlwInitF,MN2,Mineral Nitrogen (Method 2),zone_df,
MN2_SlwLayer,MN2,Mineral Nitrogen (Method 2),zonelayer_df,
MN_SlwMin,MN,Mineral Nitrogen (Method 1),zonenut_df,
MN2_SlwMin,MN2,Mineral Nitrogen (Method 2),zonelayer_df,
MN_SlwMinF,MN,Mineral Nitrogen (Method 1),zonenut_df,
MN2_SlwMinF,MN2,Mineral Nitrogen (Method 2),zonelayer_df,
MN_SlwPassF,MN,Mineral Nitrogen (Method 1),zonenut_df,
MN2_SlwPassF,MN2,Mineral Nitrogen (Method 2),zonelayer_df,
MN_SlwS,MN,Mineral Nitrogen (Method 1),zonenut_df,
MN2_SlwS,MN2,Mineral Nitrogen (Method 2),zonelayer_df,
MN2_SomMinExch,MN2,Mineral Nitrogen (Method 2),zonelayer_df,
MN_Str_LitSomTrans,MN,Mineral Nitrogen (Method 1),zonenut_df,
MN_Struc,MN,Mineral Nitrogen (Method 1),zonenut_df,
MN2_Struc,MN2,Mineral Nitrogen (Method 2),zonelayer_df,
MN2_Struc_SomTrans,MN2,Mineral Nitrogen (Method 2),zonelayer_df,
MN_StrucActF,MN,Mineral Nitrogen (Method 1),zonenut_df,
MN2_StrucActF,MN2,Mineral Nitrogen (Method 2),zonelayer_df,
MN_StrucIn,MN,Mineral Nitrogen (Method 1),zonenut_df,
MN2_StrucIn,MN2,Mineral Nitrogen (Method 2),zonelayer_df,
MN_StrucMinF,MN,Mineral Nitrogen (Method 1),zonenut_df,
MN2_StrucMinF,MN2,Mineral Nitrogen (Method 2),zonelayer_df,
MN_StrucS,MN,Mineral Nitrogen (Method 1),zonenut_df,
MN2_StrucS,MN2,Mineral Nitrogen (Method 2),zonelayer_df,
MN_StrucSlwF,MN,Mineral Nitrogen (Method 1),zonenut_df,
MN2_StrucSlwF,MN2,Mineral Nitrogen (Method 2),zonelayer_df,
MN_TotLitSomTrans,MN,Mineral Nitrogen (Method 1),zonenut_df,
MNP_MinNutPool,MNP,Mineral Nutrient Pool (N & P Combined),zonenut_df,
MP2_Act,MP2,Mineral Phosphorus (Method 2),zonelayer_df,
MP2_Act_SomTrans,MP2,Mineral Phosphorus (Method 2),zonelayer_df,
MP2_ActMin,MP2,Mineral Phosphorus (Method 2),zonelayer_df,
MP2_ActMinF,MP2,Mineral Phosphorus (Method 2),zonelayer_df,
MP2_ActPass,MP2,Mineral Phosphorus (Method 2),zonelayer_df,
MP2_ActPassF,MP2,Mineral Phosphorus (Method 2),zonelayer_df,
MP2_ActS,MP2,Mineral Phosphorus (Method 2),zonelayer_df,
MP2_ActSlw,MP2,Mineral Phosphorus (Method 2),zonelayer_df,
MP2_ActSlwF,MP2,Mineral Phosphorus (Method 2),zonelayer_df,
MP2_CNActAct,MP2,Mineral Phosphorus (Method 2),zonelayer_df,
MP2_CNMetab,MP2,Mineral Phosphorus (Method 2),zonelayer_df,
MP2_CPSlwAct,MP2,Mineral Phosphorus (Method 2),zonelayer_df,
MP2_DecAct,MP2,Mineral Phosphorus (Method 2),zonelayer_df,
MP2_DecActMet,MP2,Mineral Phosphorus (Method 2),zonelayer_df,
MP2_DecActStP,MP2,Mineral Phosphorus (Method 2),zonelayer_df,
MP2_DecPass,MP2,Mineral Phosphorus (Method 2),zonelayer_df,
MP2_DecSlw,MP2,Mineral Phosphorus (Method 2),zonelayer_df,
MP2_DecStrucSlw,MP2,Mineral Phosphorus (Method 2),zonelayer_df,
MP2_DemActMet,MP2,Mineral Phosphorus (Method 2),zonelayer_df,
MP2_DemActSt,MP2,Mineral Phosphorus (Method 2),zonelayer_df,
MP2_DemStrucSlw,MP2,Mineral Phosphorus (Method 2),zonelayer_df,
MP2_ImmobAct,MP2,Mineral Phosphorus (Method 2),zonelayer_df,
MP2_ImmobStrucSlw,MP2,Mineral Phosphorus (Method 2),zonelayer_df,
MP2_Met_SomTrans,MP2,Mineral Phosphorus (Method 2),zonelayer_df,
MP2_Metab,MP2,Mineral Phosphorus (Method 2),zonelayer_df,
